id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified
380	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Glycine, serine and threonine metabolism::glycine	Glycine	EUR			7802	hg18	2231130	1	0.2941	0.0639	4.602503912			1.0527	1.057	1.0153	File: M32338.metal.pos.txt.gz	2017-02-07	2017-02-11
381	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Glycine, serine and threonine metabolism::N-acetylglycine	N-acetylglycine	EUR			7135	hg18	2231054	2	0.1265	0.074	1.709459459			1.0135	1.0257	1.009	File: M27710.metal.pos.txt.gz	2017-02-07	2017-02-11
382	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Glycine, serine and threonine metabolism::N-acetylthreonine	N-acetylthreonine	EUR			6909	hg18	2230958	0	-0.2601	0.0691	-3.764109986			0.9692	0.9739	1.0077	File: M33939.metal.pos.txt.gz	2017-02-07	2017-02-11
383	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Glycine, serine and threonine metabolism::serine	Serine	EUR			7796	hg18	2231130	3	0.0489	0.0615	0.795121951			1.0016	1.0164	1.0091	File: M32315.metal.pos.txt.gz	2017-02-07	2017-02-11
384	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Glycine, serine and threonine metabolism::threonine	Threonine	EUR			6020	hg18	2230991	0	0.0522	0.0784	0.665816327			1.0046	1.0151	1.0091	File: M01284.metal.pos.txt.gz	2017-02-07	2017-02-11
385	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Guanidino and acetamido metabolism::4-acetamidobutanoate	4-acetamidobutanoate	EUR			6930	hg18	2230938	2	0.5951	0.0859	6.92782305			1.0802	1.1066	1.0306	File: M01558.metal.pos.txt.gz	2017-02-07	2017-02-11
386	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Histidine metabolism::3-methylhistidine	3-methylhistidine	EUR			5885	hg18	2230143	0	0.036	0.0812	0.443349754			1.0195	1.0125	1.0085	File: M15677.metal.pos.txt.gz	2017-02-07	2017-02-11
387	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Histidine metabolism::histidine	Histidine	EUR			7804	hg18	2231120	1	0.3196	0.0634	5.041009464			0.8073	0.8223	0.776	File: M00059.metal.pos.txt.gz	2017-02-07	2017-02-11
388	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Lysine metabolism::glutaroyl carnitine	Glutaroyl carnitine	EUR			7701	hg18	2231062	8	0.1322	0.074	1.786486486			1.0165	1.0318	1.0128	File: M35439.metal.pos.txt.gz	2017-02-07	2017-02-11
389	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Lysine metabolism::lysine	Lysine	EUR			7812	hg18	2231139	1	-0.2739	0.0661	-4.143721634			0.9839	0.9932	1.0335	File: M01301.metal.pos.txt.gz	2017-02-07	2017-02-11
390	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Lysine metabolism::pipecolate	Pipecolate	EUR			7792	hg18	2231097	1	-0.0261	0.0618	-0.422330097			0.9957	0.9985	1.0023	File: M01444.metal.pos.txt.gz	2017-02-07	2017-02-11
391	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::3-(3-hydroxyphenyl)propionate	3-(3-hydroxyphenyl)propionate	EUR			1163	hg18	2227547	0									File: M35635.metal.pos.txt.gz	2017-02-07	2017-02-11
392	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate	EUR			7795	hg18	2231121	1	0.2457	0.0681	3.607929515			1.0527	1.0595	1.0233	File: M32197.metal.pos.txt.gz	2017-02-07	2017-02-11
393	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::3-methoxytyrosine	3-methoxytyrosine	EUR			5997	hg18	2230942	0	0.146	0.0796	1.834170854			1.0315	1.0316	1.0152	File: M12017.metal.pos.txt.gz	2017-02-07	2017-02-11
394	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::3-phenylpropionate (hydrocinnamate)	3-phenylpropionate (hydrocinnamate)	EUR			6182	hg18	2230879	1	0.0424	0.0781	0.542893726			1.0225	1.0204	1.0155	File: M15749.metal.pos.txt.gz	2017-02-07	2017-02-11
395	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::p-cresol sulfate	P-cresol sulfate	EUR			7758	hg18	2231085	0	0.103	0.062	1.661290323			1.0285	1.0292	1.014	File: M36103.metal.pos.txt.gz	2017-02-07	2017-02-11
396	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::phenol sulfate	Phenol sulfate	EUR			7810	hg18	2231129	0	-0.0578	0.0617	-0.936790924			0.9986	1.0029	1.0114	File: M32553.metal.pos.txt.gz	2017-02-07	2017-02-11
397	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::phenylacetate	Phenylacetate	EUR			4754	hg18	2230568	0									File: M15958.metal.pos.txt.gz	2017-02-07	2017-02-11
398	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::phenylacetylglutamine	Phenylacetylglutamine	EUR			7812	hg18	2231134	1	0.0966	0.0624	1.548076923			1.0195	1.0248	1.0104	File: M35126.metal.pos.txt.gz	2017-02-07	2017-02-11
399	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::phenylalanine	Phenylalanine	EUR			7803	hg18	2231114	1	0.215	0.0436	4.931192661			0.8207	0.8267	0.7956	File: M00064.metal.pos.txt.gz	2017-02-07	2017-02-11
400	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::phenyllactate (PLA)	Phenyllactate (PLA)	EUR			6064	hg18	2230849	1	0.0554	0.0849	0.652532391			1.0195	1.0276	1.0213	File: M22130.metal.pos.txt.gz	2017-02-07	2017-02-11
401	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Phenylalanine & tyrosine metabolism::tyrosine	Tyrosine	EUR			7807	hg18	2231122	3	0.1663	0.0713	2.332398317			1.0466	1.0566	1.0323	File: M01299.metal.pos.txt.gz	2017-02-07	2017-02-11
402	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::3-indoxyl sulfate	3-indoxyl sulfate	EUR			7787	hg18	2231102	0	0.1633	0.0543	3.007366483			0.9721	0.9701	0.9463	File: M27672.metal.pos.txt.gz	2017-02-07	2017-02-11
403	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::C-glycosyltryptophan*	C-glycosyltryptophan	EUR			7786	hg18	2231110	0	-0.3104	0.0582	-5.333333333			0.9721	0.9857	1.0312	File: M32675.metal.pos.txt.gz	2017-02-07	2017-02-11
404	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::indoleacetate	Indoleacetate	EUR			7618	hg18	2231121	2	-0.0051	0.0683	-0.074670571			1.0075	1.0211	1.0218	File: M27513.metal.pos.txt.gz	2017-02-07	2017-02-11
405	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::indolelactate	Indolelactate	EUR			7378	hg18	2231072	1	0.3448	0.0715	4.822377622			1.0496	1.061	1.0129	File: M18349.metal.pos.txt.gz	2017-02-07	2017-02-11
406	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::indolepropionate	Indolepropionate	EUR			7803	hg18	2231155	1	0.1337	0.0641	2.085803432			0.9202	0.9281	0.9085	File: M32405.metal.pos.txt.gz	2017-02-07	2017-02-11
407	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::kynurenine	Kynurenine	EUR			7816	hg18	2231121	3	0.5101	0.0724	7.04558011			1.0833	1.1064	1.0324	File: M15140.metal.pos.txt.gz	2017-02-07	2017-02-11
408	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::serotonin (5HT)	Serotonin (5HT)	EUR			6139	hg18	2231118	0	0.0982	0.0806	1.218362283			1.0225	1.0262	1.0148	File: M02342.metal.pos.txt.gz	2017-02-07	2017-02-11
409	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::tryptophan	Tryptophan	EUR			7804	hg18	2231122	19	0.9692	0.076	12.75263158			1.0864	1.1809	1.0417	File: M00054.metal.pos.txt.gz	2017-02-07	2017-02-11
410	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Tryptophan metabolism::tryptophan betaine 	Tryptophan betaine 	EUR			7439	hg18	2231051	2	0.1923	0.0764	2.517015707			0.9898	0.9898	0.9625	File: M37097.metal.pos.txt.gz	2017-02-07	2017-02-11
411	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::arginine	Arginine	EUR			7528	hg18	2231095	0	-0.005	0.0705	-0.070921986			1.0285	1.0365	1.0372	File: M01638.metal.pos.txt.gz	2017-02-07	2017-02-27
412	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::citrulline	Citrulline	EUR			7773	hg18	2231139	3	0.4974	0.084	5.921428571			1.0926	1.1062	1.0342	File: M02132.metal.pos.txt.gz	2017-02-07	2017-02-11
413	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::dimethylarginine (SDMA + ADMA)	Dimethylarginine (SDMA + ADMA)	EUR			7347	hg18	2231124	1	0.0159	0.0639	0.248826291			1.0345	1.0398	1.0377	File: M36808.metal.pos.txt.gz	2017-02-07	2017-02-11
414	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::homocitrulline	Homocitrulline	EUR			4135	hg18	2231004	1									File: M22138.metal.pos.txt.gz	2017-02-07	2017-02-11
415	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::N-acetylornithine	N-acetylornithine	EUR			7574	hg18	2231092	1	0.0114	0.0714	0.159663866			0.9986	1.0092	1.0076	File: M15630.metal.pos.txt.gz	2017-02-07	2017-02-11
416	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::ornithine	Ornithine	EUR			7746	hg18	2231144	0	-0.1682	0.0575	-2.925217391			0.9839	0.987	1.0116	File: M01493.metal.pos.txt.gz	2017-02-07	2017-02-11
417	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::proline	Proline	EUR			7816	hg18	2231135	2	0.4337	0.0722	6.006925208			1.0679	1.0908	1.0281	File: M01898.metal.pos.txt.gz	2017-02-07	2017-02-11
418	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::trans-4-hydroxyproline	Trans-4-hydroxyproline	EUR			7802	hg18	2231142	0	-0.0188	0.051	-0.368627451			0.9174	0.9202	0.923	File: M32319.metal.pos.txt.gz	2017-02-07	2017-02-11
419	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Urea cycle; arginine-, proline-, metabolism::urea	Urea	EUR			7796	hg18	2231130	0	-0.0693	0.0522	-1.327586207			0.9927	1.0007	1.0109	File: M01670.metal.pos.txt.gz	2017-02-07	2017-02-11
420	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::2-hydroxyisobutyrate	2-hydroxyisobutyrate	EUR			6539	hg18	2231003	3	0.3668	0.0812	4.517241379			1.0557	1.0572	1.0119	File: M22030.metal.pos.txt.gz	2017-02-07	2017-02-11
421	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::2-methylbutyroylcarnitine	2-methylbutyroylcarnitine	EUR			7420	hg18	2231106	1	0.0609	0.0751	0.810918775			1.0225	1.0257	1.0171	File: M35431.metal.pos.txt.gz	2017-02-07	2017-02-11
422	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate	EUR			7648	hg18	2231127	1	-0.2308	0.0532	-4.338345865			0.9751	0.9804	1.0136	File: M21047.metal.pos.txt.gz	2017-02-07	2017-02-11
423	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::3-methyl-2-oxovalerate	3-methyl-2-oxovalerate	EUR			7779	hg18	2231131	2	0.3081	0.0624	4.9375			1.0375	1.0599	1.0152	File: M15676.metal.pos.txt.gz	2017-02-07	2017-02-11
424	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate	EUR			7776	hg18	2231138	2	-0.0897	0.0586	-1.530716724			0.9927	1.0008	1.0139	File: M22116.metal.pos.txt.gz	2017-02-07	2017-02-11
425	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate	EUR			7668	hg18	2231105	3	0.0832	0.0608	1.368421053			0.9345	0.9462	0.934	File: M33937.metal.pos.txt.gz	2017-02-07	2017-02-11
426	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::beta-hydroxyisovalerate	Beta-hydroxyisovalerate	EUR			7283	hg18	2231036	1	0.1727	0.0717	2.408647141			1.0436	1.0545	1.0307	File: M12129.metal.pos.txt.gz	2017-02-07	2017-02-11
427	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::hydroxyisovaleroyl carnitine	Hydroxyisovaleroyl carnitine	EUR			5588	hg18	2231107	2	0.0426	0.0906	0.470198675			0.9402	0.9401	0.9355	File: M35433.metal.pos.txt.gz	2017-02-07	2017-02-11
428	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::isobutyrylcarnitine	Isobutyrylcarnitine	EUR			7812	hg18	2231133	2	0.3079	0.0741	4.155195682			0.9692	0.9751	0.9296	File: M33441.metal.pos.txt.gz	2017-02-07	2017-02-11
429	24816252	2014	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/shin_et_al.metal.out.tar.gz	http://mips.helmholtz-muenchen.de/proj/GWAS/gwas/gwas_server/		Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Amino acid::Valine, leucine and isoleucine metabolism::isoleucine	Isoleucine	EUR			7801	hg18	2231134	0	-0.2924	0.0612	-4.777777778			0.9489	0.9593	1.0023	File: M01125.metal.pos.txt.gz	2017-02-07	2017-02-11
